iter	Passed	Remaining
0	283	84799
1	400	59721
2	495	49060
3	588	43579
4	688	40645
5	785	38465
6	872	36505
7	964	35186
8	1073	34709
9	1177	34153
10	1268	33328
11	1362	32697
12	1456	32148
13	1545	31568
14	1639	31152
15	1742	30929
16	1832	30497
17	1926	30185
18	2009	29726
19	2089	29247
20	2183	29015
21	2264	28609
22	2353	28347
23	2450	28175
24	2542	27967
25	2653	27962
26	2763	27943
27	2852	27711
28	2953	27603
29	3051	27467
30	3159	27413
31	3239	27131
32	3317	26844
33	3434	26866
34	3527	26706
35	3630	26620
36	3715	26409
37	3809	26265
38	3908	26157
39	4003	26024
40	4133	26109
41	4232	25999
42	4326	25858
43	4420	25717
44	4516	25594
45	4661	25740
46	4751	25576
47	4891	25680
48	5018	25707
49	5133	25666
50	5238	25576
51	5366	25592
52	5486	25569
53	5587	25453
54	5683	25316
55	5785	25206
56	5885	25092
57	5970	24912
58	6061	24760
59	6156	24627
60	6254	24505
61	6370	24454
62	6453	24277
63	6547	24145
64	6651	24046
65	6739	23894
66	6825	23737
67	6925	23627
68	7012	23476
69	7114	23375
70	7196	23212
71	7291	23089
72	7376	22937
73	7464	22797
74	7588	22766
75	7684	22649
76	7785	22547
77	7877	22420
78	7961	22270
79	8062	22172
80	8153	22045
81	8251	21937
82	8331	21781
83	8420	21652
84	8511	21529
85	8606	21416
86	8690	21275
87	8772	21134
88	8866	21019
89	8948	20879
90	9023	20723
91	9111	20600
92	9219	20519
93	9319	20424
94	9406	20298
95	9504	20196
96	9607	20106
97	9707	20008
98	9806	19909
99	9907	19814
100	9988	19680
101	10089	19584
102	10190	19489
103	10285	19383
104	10377	19273
105	10456	19136
106	10541	19013
107	10635	18908
108	10724	18793
109	10826	18701
110	10929	18609
111	11018	18495
112	11105	18378
113	11194	18265
114	11291	18165
115	11387	18062
116	11472	17944
117	11571	17846
118	11662	17738
119	11771	17657
120	11860	17545
121	11938	17419
122	12014	17289
123	12106	17182
124	12183	17057
125	12269	16943
126	12361	16838
127	12445	16724
128	12527	16606
129	12606	16485
130	12698	16381
131	12785	16272
132	12862	16150
133	12945	16037
134	13026	15921
135	13125	15828
136	13216	15725
137	13288	15599
138	13373	15489
139	13466	15390
140	13538	15267
141	13618	15152
142	13688	15028
143	13763	14910
144	13848	14803
145	13919	14682
146	13992	14563
147	14063	14443
148	14137	14327
149	14224	14224
150	14304	14115
151	14387	14009
152	14478	13910
153	14566	13810
154	14650	13705
155	14734	13601
156	14826	13504
157	14905	13396
158	14991	13294
159	15072	13188
160	15155	13084
161	15230	12973
162	15317	12874
163	15398	12769
164	15482	12667
165	15551	12553
166	15620	12440
167	15689	12327
168	15762	12218
169	15834	12108
170	15905	11998
171	15976	11889
172	16045	11779
173	16114	11669
174	16182	11558
175	16247	11447
176	16333	11350
177	16406	11245
178	16480	11140
179	16549	11033
180	16619	10926
181	16690	10821
182	16763	10717
183	16833	10612
184	16902	10507
185	17021	10432
186	17131	10352
187	17224	10261
188	17329	10177
189	17425	10088
190	17546	10013
191	17642	9923
192	17919	9934
193	18150	9917
194	18251	9827
195	18350	9737
196	18468	9656
197	18555	9559
198	18635	9458
199	18734	9367
200	18824	9271
201	18924	9181
202	19143	9147
203	19242	9055
204	19514	9043
205	19638	8961
206	19920	8949
207	20066	8875
208	20139	8768
209	20216	8664
210	20311	8567
211	20627	8562
212	20754	8477
213	20839	8374
214	20920	8270
215	20998	8165
216	21074	8060
217	21150	7955
218	21226	7850
219	21297	7744
220	21380	7642
221	21457	7539
222	21532	7434
223	21610	7332
224	21706	7235
225	21778	7131
226	21882	7037
227	21956	6933
228	22030	6830
229	22103	6727
230	22177	6624
231	22287	6532
232	22442	6453
233	22530	6354
234	22609	6253
235	22691	6153
236	22771	6053
237	22855	5953
238	22932	5853
239	23190	5797
240	23323	5709
241	23444	5618
242	23541	5522
243	23644	5426
244	23754	5332
245	23844	5234
246	23936	5136
247	24027	5038
248	24118	4939
249	24209	4841
250	24453	4773
251	24578	4681
252	24712	4590
253	24827	4496
254	24923	4398
255	25019	4300
256	25123	4203
257	25233	4107
258	25422	4024
259	25567	3933
260	25833	3860
261	26138	3791
262	26590	3740
263	26885	3666
264	27085	3577
265	27256	3483
266	27654	3417
267	27906	3332
268	28048	3232
269	28148	3127
270	28266	3024
271	28391	2922
272	28506	2819
273	28621	2715
274	28757	2614
275	28886	2511
276	29005	2408
277	29124	2304
278	29233	2200
279	29395	2099
280	29510	1995
281	29622	1890
282	29757	1787
283	30003	1690
284	30149	1586
285	30292	1482
286	30550	1383
287	30676	1278
288	30844	1174
289	30962	1067
290	31271	967
291	31983	876
292	32232	770
293	32352	660
294	32460	550
295	32586	440
296	32721	330
297	32903	220
298	33013	110
299	33140	0
